clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Tui Ag,Germany,ethicalconsumer.org,A multinational travel and tourism company.,"Boycott for selling tickets to captive wildlife attractions, considered harmful and cruel to animals.",Travel booking companies,Transportation & Travel
Tui Group,United States,DBIO_Listed_Business,American global financial services company,"Loans, Underwriting, Bondholdings, Shareholdings",Financial Services,Finance & Insurance
Twitoplast,Israel,UN_Report,Manufacturing,Use of natural resources,Manufacturing,Manufacturing & Industrial
Tyrec,Occupied Palestinian Territory,whoprofits.org,"A private Israeli company specializing in the recycling of tires.

Tyrec operates the biggest facility in Israel for the recycli","Exploitation of Occupied Production and Resources, Settlement Enterprise",Waste Management,Manufacturing & Industrial
Tzifha International,Occupied Palestinian Territory,whoprofits.org,"A developer of construction projects. The company has developed the &#39;Illit&#39; commercial center and 3,000 housing units in t","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Settlement Production",Construction,Manufacturing & Industrial
Umm Brothers Nstruction Works Investment And Development Mpany,Israel,whoprofits.org,"An Israeli owned construction and development company.

Umm Brothers is a construction and development company. The company cons",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Unicredit,Italy,DBIO_creditor_report,Italian global banking and financial services company,Loans and underwriting services,Financial Services,Finance & Insurance
Unikowsky Maoz,"Occupied Palestinian Territory, Israel","whoprofits.org, UN_Report","Importer, marketer and distributer of home, building and gardening products.

The company is located in the Barkan industrial zo, Manufacturing","Settlement Production, Use of natural resources","Service Industry and Retail, Manufacturing","Construction & Real Estate, Manufacturing & Industrial"
Unilever,United Kingdom,boycott-israel.org,"Unilever owns multiple brands including Ben & Jerry's. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",Circumventing decision to stop selling in Israel,Others,Other
Unilever Sub-Brand,United Kingdom,boycott-israel.org,"These are sub-brands under Unilever, a British multinational consumer goods company specializing in food, beverages, cleaning agents, and personal care products.",Axe-Ben & Jerry's-Cif-Comfort-Dove-Hellmann's-Knorr-LUX-Love Beauty & Planet-Magnum-OLLY Vitamins-OMO-Rexona-SmartyPants Vitamins-Sunsilk-Vaseline-Wall's (Frisko),Others,Other
Union Motors,Israel,whoprofits.org,"An automotive retailer and the sole distributor of&nbsp;Toyota Motor Corporation&nbsp;in the Israeli market.

The Toyota Hilux m",Specialized Equipment and Services,"Heavy Machinery, Military, Security and Surveillance, Service Industry and Retail",Manufacturing & Industrial
Valero Energy Rporation,USA,afsc.org-profiting,Valero Energy Corporation is an American multinational manufacturer and marketer of transportation fuels and petrochemical products.,Supplies fuel to Israeli military,Energy,Energy & Utilities
Varonis,Israel & United States,boycott-israel.org,"Co-founded in Israel and the United States. Varonis specializes in data security and analytics, focusing on protecting sensitive data, detecting insider threats, and ensuring compliance.",Data security and analytics,Cybersecurity,Technology & Hi-tech
Vered Hatamar,Occupied Palestinian Territory,whoprofits.org,"Grower and marketer of Medjool Dates.

Vered Hatamar grows and exports Medjool dates from the occupied Jordan Valley.&nbsp;The c",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Videotec,Italy,whoprofits.org,"An Italian private company for designing and creating products for the video surveillance industry.

During a June 2018 Who Prof",Private Security and Surveillance Technology,"Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Villar International,"United States, Israel, Israel","DBIO_Listed_Business, whoprofits.org, UN_Report","American multinational technology company, Villar International is an Israeli public company that operates in the field of construction, entrepreneurship and real estate. Th, Real estate","Loans, Underwriting, Bondholdings, Shareholdings, Israeli Construction on Occupied Land, Settlement Enterprise, Use of natural resources","Technology, Construction, Real Estate, Real Estate","Technology & Hi-tech, Construction & Real Estate"
Vi / Semi,Israel,DBIO_Listed_Business,Israeli financial services company,Shareholdings,Financial Services,Finance & Insurance
Volkswagen Group,Germany,whoprofits.org,"A Germany-based public Company that manufactures and sells vehicles. Group&rsquo;s brands include Volkswagen, Audi, SEAT, SKODA, B","Population Control, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services","Industrial Manufacturing, Transportation",Manufacturing & Industrial
Volkswagen Sub-Brand,Germany,boycott-israel.org,"These are sub-brands under Volkswagen Group, a German multinational automotive manufacturing company.",Volkswagen-Audi-SEAT-SKODA-Bentley-Bugatti-Lamborghini-Porsche-Ducati-Scania-MAN,Automotive,Transportation & Travel
Volvo Group,"Sweden, Sweden, United States","bdsmovement.net, boycott-israel.org, DBIO_Listed_Business","Volvo machinery is used in the destruction of Palestinian homes., A Swedish-based, multinational public company, which manufactures trucks, buses, construction equipment and more. The Volvo Group provides heavy machinery used for the demolition of Palestinian houses in the occupied West Bank and East Jerusalem, construction of Israeli settlements and construction of the Separation Wall., American multinational technology company","Construction, Demolition, Provides heavy machinery used for demolition, Loans, Underwriting, Bondholdings, Shareholdings","Construction, Others, Technology",Manufacturing & Industrial
Volvo Group (Ab Volvo),Sweden,whoprofits.org,"A Swedish-based, multinational public company, which manufactures trucks, buses, construction equipment and marine and industrial ","Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints","Heavy Machinery, Transportation",Manufacturing & Industrial
White Snow (Sheleg Lavan),Israel,whoprofits.org,"A human resources company which provides cleaning and security services.

In 2021 and 2019, the company published a job advertis","Private Security and Surveillance Technology, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Wirtgen Group,Germany,whoprofits.org,"A supplier of technologies for the entire road construction cycle: processing, mixing, paving and rehabilitation.

In 2012, a Jo",Israeli Construction on Occupied Land,"Construction, Heavy Machinery",Manufacturing & Industrial
Wix.com,"Israel, Israel, Israel (Global)","bdsmovement.net, ethicalconsumer.org, boycott-israel.org","WIX has openly supported apartheid Israel and/or provided generous in-kind donations to the Israeli military., Provides cloud-based web development services., Wix is a platform that allows users to create websites through the use of online drag and drop tools. It has a significant user base worldwide. Wix encouraged its employees to create content supporting ìIsraelís narrativeî in the countryís conflict with Hamas militants in Gaza, leaked internal messages show.","Technology, Military Support, Boycott endorsed due to poor or no access to the internet for Palestinian communities near its headquarters., Encouraged employees to create content supporting Israelís narrative","Technology, Online Services and Platforms, Online Services and Platforms","Technology & Hi-tech, Technology & Hi-tech"
Woodward,USA,afsc.org-profiting,"Woodward designs, manufactures, and services control solutions for the aerospace and industrial markets.",Provides control systems for military aircraft used by Israeli forces,"Aerospace, Defense",Defense & Security
"Wsp, Parsons Brkerhoff (Formerly Parsons Brkerhoff International )","Canada, Israel",whoprofits.org,"The company provides technical expertise and strategic advice in the property and buildings, transportation and infrastructure sec",Israeli Construction on Occupied Land,"Construction, Transportation",Manufacturing & Industrial
